openalex_id,title,year,source,type,primary_topic,subfield,field,domain,doi,cited_by_count,num_referenced_works
W2057978450,"Navigation Performance With a Virtual Auditory Display: Effects of Beacon Sound, Capture Radius, and Practice",2006,Human Factors The Journal of the Human Factors and Ergonomics Society,article,Tactile and Sensory Interactions,Cognitive Neuroscience,Neuroscience,Life Sciences,https://doi.org/10.1518/001872006777724507,167,36
W2170410208,Application of a Three-Dimensional Auditory Display in a Flight Task,1996,Human Factors The Journal of the Human Factors and Ergonomics Society,article,Noise Effects and Management,Speech and Hearing,Health Professions,Health Sciences,https://doi.org/10.1518/001872096778940859,101,18
W2546635522,Sonification: Review of Auditory Display Solutions in Electronic Travel Aids for the Blind,2016,Archives of Acoustics,article,Tactile and Sensory Interactions,Cognitive Neuroscience,Neuroscience,Life Sciences,https://doi.org/10.1515/aoa-2016-0040,34,33
W3165483460,"SoundSight: a mobile sensory substitution device that sonifies colour, distance, and temperature",2021,Journal on Multimodal User Interfaces,article,Tactile and Sensory Interactions,Cognitive Neuroscience,Neuroscience,Life Sciences,https://doi.org/10.1007/s12193-021-00376-w,24,58
W2108893166,Sonification Sandbox Reconstruction: Software Standard for Auditory Graphs,2007,,article,Tactile and Sensory Interactions,Cognitive Neuroscience,Neuroscience,Life Sciences,,24,7
W1543098188,BABBLE ONLINE: APPLYING STATISTICS AND DESIGN TO SONIFY THE INTERNET,2001,,article,Data Visualization and Analytics,Computer Vision and Pattern Recognition,Computer Science,Physical Sciences,,17,5
W2313795952,Augmenting Cyber Defender Performance and Workload through Sonified Displays,2015,Procedia Manufacturing,article,Human-Automation Interaction and Safety,Social Psychology,Psychology,Social Sciences,https://doi.org/10.1016/j.promfg.2015.07.589,19,23
W2118489710,"THIRTEEN YEARS OF REFLECTION ON AUDITORY GRAPHING: PROMISES, PITFALLS, AND POTENTIAL NEW DIRECTIONS",2005,Lincoln (University of Nebraska),article,Data Visualization and Analytics,Computer Vision and Pattern Recognition,Computer Science,Physical Sciences,,87,8
W131116608,Bactericidal Effect of Chlorine on Attached Salmonellae With and Without Sonification,1993,Journal of Food Protection,article,Advanced Chemical Sensor Technologies,Biomedical Engineering,Engineering,Physical Sciences,https://doi.org/10.4315/0362-028x-56.8.716,94,0
W2045114640,Perception of Sonified Daily Weather Records,2002,Proceedings of the Human Factors and Ergonomics Society Annual Meeting,article,Neuroscience and Music Perception,Cognitive Neuroscience,Neuroscience,Life Sciences,https://doi.org/10.1177/154193120204601711,16,2
W2121967258,Rapidly Learned Identification of Epileptic Seizures from Sonified EEG,2014,Frontiers in Human Neuroscience,article,EEG and Brain-Computer Interfaces,Cognitive Neuroscience,Neuroscience,Life Sciences,https://doi.org/10.3389/fnhum.2014.00820,20,17
W1596196963,Sonification for Exploratory Data Analysis,2002,PUB – Publications at Bielefeld University (Bielefeld University),dissertation,Music and Audio Processing,Signal Processing,Computer Science,Physical Sciences,,113,0
W2067083952,Data Sonification for Users with Visual Impairment,2008,ACM Transactions on Computer-Human Interaction,article,Tactile and Sensory Interactions,Cognitive Neuroscience,Neuroscience,Life Sciences,https://doi.org/10.1145/1352782.1352786,118,46
W2091784785,Magnitude estimation of conceptual data dimensions for use in sonification.,2002,Journal of Experimental Psychology Applied,article,Tactile and Sensory Interactions,Cognitive Neuroscience,Neuroscience,Life Sciences,https://doi.org/10.1037//1076-898x.8.4.211,116,90
W2888763178,Listen to the models: Sonified learning models for people who are blind,2018,Computers & Education,article,Tactile and Sensory Interactions,Cognitive Neuroscience,Neuroscience,Life Sciences,https://doi.org/10.1016/j.compedu.2018.08.020,20,57
W2045094646,Guest Editors' Introduction: An Introduction to Interactive Sonification,2005,IEEE Multimedia,editorial,Tactile and Sensory Interactions,Cognitive Neuroscience,Neuroscience,Life Sciences,https://doi.org/10.1109/mmul.2005.26,100,12
W2061023211,Mapping Candidate Within-Vehicle Auditory Displays to Their Referents,2007,Human Factors The Journal of the Human Factors and Ergonomics Society,article,Human-Automation Interaction and Safety,Social Psychology,Psychology,Social Sciences,https://doi.org/10.1518/001872007x200067,78,23
W1520666785,Head-Up Auditory Displays for Traffic Collision Avoidance System Advisories: A Preliminary Investigation,1993,Human Factors The Journal of the Human Factors and Ergonomics Society,article,Human-Automation Interaction and Safety,Social Psychology,Psychology,Social Sciences,https://doi.org/10.1177/001872089303500409,113,14
W2147923073,Auditory display design for exploration in mobile audio-augmented reality,2011,Personal and Ubiquitous Computing,article,Tactile and Sensory Interactions,Cognitive Neuroscience,Neuroscience,Life Sciences,https://doi.org/10.1007/s00779-011-0459-0,83,29
W2048443216,Audification and sonification of texture in images,2001,Journal of Electronic Imaging,article,Tactile and Sensory Interactions,Cognitive Neuroscience,Neuroscience,Life Sciences,https://doi.org/10.1117/1.1382811,14,45
W1989274999,Auditory displays in anesthesiology,2009,Current Opinion in Anaesthesiology,article,Healthcare Technology and Patient Monitoring,Surgery,Medicine,Health Sciences,https://doi.org/10.1097/aco.0b013e3283326a2f,44,67
W2283562276,"<i>Go-with-the-Flow</i>: Tracking, Analysis and Sonification of Movement and Breathing to Build Confidence in Activity Despite Chronic Pain",2015,Human-Computer Interaction,article,Music Therapy and Health,Social Psychology,Psychology,Social Sciences,https://doi.org/10.1080/07370024.2015.1085310,144,94
W2154620409,USING AUDIFICATION IN PLANETARY SEISMOLOGY,2001,,article,"Media, Communication, and Education",Communication,Social Sciences,Social Sciences,,50,4
W2150875929,Auditory scene analysis and sonified visual images. Does consonance negatively impact on object formation when using complex sonified stimuli?,2015,Frontiers in Psychology,article,Multisensory perception and integration,Experimental and Cognitive Psychology,Psychology,Social Sciences,https://doi.org/10.3389/fpsyg.2015.01522,15,62
W2345792697,Movement Sonification: Effects on Motor Learning beyond Rhythmic Adjustments,2016,Frontiers in Neuroscience,article,Multisensory perception and integration,Experimental and Cognitive Psychology,Psychology,Social Sciences,https://doi.org/10.3389/fnins.2016.00219,133,68
W69091869,WHITHER AND WHEREFORE THE AUDITORY GRAPH? ABSTRACTIONS & ÆSTHETICS IN AUDITORY AND SONIFIED GRAPHS,2005,,article,Tactile and Sensory Interactions,Cognitive Neuroscience,Neuroscience,Life Sciences,,5,16
W2031554514,Fidelity of three-dimensional-sound reproduction using a virtual auditory display,2000,The Journal of the Acoustical Society of America,article,Hearing Loss and Rehabilitation,Cognitive Neuroscience,Neuroscience,Life Sciences,https://doi.org/10.1121/1.428321,81,21
W2885080937,"Auditory Graphs Are Not the “Killer App” of Sonification, But They Work",2018,Ergonomics in Design The Quarterly of Human Factors Applications,article,Tactile and Sensory Interactions,Cognitive Neuroscience,Neuroscience,Life Sciences,https://doi.org/10.1177/1064804618773563,13,16
W1581350311,SONIPY: THE DESIGN OF AN EXTENDABLE SOFTWARE FRAMEWORK FOR SONIFICATION RESEARCH AND AUDITORY DISPLAY,2007,,article,Music Technology and Sound Studies,Computer Vision and Pattern Recognition,Computer Science,Physical Sciences,,20,16
W2027523423,Pitch and loudness interact in auditory displays: Can the data get lost in the map?,2002,Journal of Experimental Psychology Applied,article,Hearing Loss and Rehabilitation,Cognitive Neuroscience,Neuroscience,Life Sciences,https://doi.org/10.1037//1076-898x.8.1.17,69,43
W2130461445,Sonification and haptic feedback in addition to visual feedback enhances complex motor task learning,2014,Experimental Brain Research,article,Tactile and Sensory Interactions,Cognitive Neuroscience,Neuroscience,Life Sciences,https://doi.org/10.1007/s00221-014-4167-7,159,106
W2601835878,"Listener, Task, and Auditory Graph: Toward a Conceptual Model of Auditory Graph Comprehension",2007,,article,"Language, Metaphor, and Cognition",Experimental and Cognitive Psychology,Psychology,Social Sciences,,34,0
W2095929735,Sonification Supports Eyes-Free Respiratory Monitoring and Task Time-Sharing,2004,Human Factors The Journal of the Human Factors and Ergonomics Society,article,Healthcare Technology and Patient Monitoring,Surgery,Medicine,Health Sciences,https://doi.org/10.1518/hfes.46.3.497.50401,102,38
W1498365126,Sonification for Process Monitoring,2011,Northumbria Research Link (Northumbria University),book-chapter,Data Visualization and Analytics,Computer Vision and Pattern Recognition,Computer Science,Physical Sciences,,40,0
W2035486824,Embodied Aesthetics in Auditory Display,2014,Organised Sound,article,Multisensory perception and integration,Experimental and Cognitive Psychology,Psychology,Social Sciences,https://doi.org/10.1017/s1355771813000423,39,85
W268431760,Development and Evaluation of Sonified Weather Maps for Blind Users,2012,,book-chapter,Tactile and Sensory Interactions,Cognitive Neuroscience,Neuroscience,Life Sciences,https://doi.org/10.1007/978-1-4471-2867-0_8,11,12
W108443521,Nonvisual Route following with Guidance from a Simple Haptic or Auditory Display,2007,Journal of Visual Impairment & Blindness,article,Tactile and Sensory Interactions,Cognitive Neuroscience,Neuroscience,Life Sciences,https://doi.org/10.1177/0145482x0710100403,68,14
W4233780434,Auditory display of knee-joint vibration signals,2001,The Journal of the Acoustical Society of America,article,Phonocardiography and Auscultation Techniques,Pulmonary and Respiratory Medicine,Medicine,Health Sciences,https://doi.org/10.1121/1.1413995,30,22
W2122790853,Advanced Auditory Displays and Head-Mounted Displays: Advantages and Disadvantages for Monitoring by the Distracted Anesthesiologist,2008,Anesthesia & Analgesia,article,Healthcare Technology and Patient Monitoring,Surgery,Medicine,Health Sciences,https://doi.org/10.1213/ane.0b013e31817325cb,82,36
W2609429672,An auditory display tool for DNA sequence analysis,2017,BMC Bioinformatics,article,Music Technology and Sound Studies,Computer Vision and Pattern Recognition,Computer Science,Physical Sciences,https://doi.org/10.1186/s12859-017-1632-x,38,24
W2003797042,Data sonification and sound visualization,1999,Computing in Science & Engineering,article,Music Technology and Sound Studies,Computer Vision and Pattern Recognition,Computer Science,Physical Sciences,https://doi.org/10.1109/5992.774840,65,23
W1510730631,The quest for auditory direct manipulation : the sonified Towers of Hanoi,2000,,article,Tactile and Sensory Interactions,Cognitive Neuroscience,Neuroscience,Life Sciences,,12,9
W2158233643,Creative Aspects of Sonification,2004,Leonardo,article,Neuroscience and Music Perception,Cognitive Neuroscience,Neuroscience,Life Sciences,https://doi.org/10.1162/0024094041139427,34,10
W2552249845,Sonification and textification: Proposing methods for classifying unspoken words from EEG signals,2016,Biomedical Signal Processing and Control,article,EEG and Brain-Computer Interfaces,Cognitive Neuroscience,Neuroscience,Life Sciences,https://doi.org/10.1016/j.bspc.2016.10.012,77,68
W2129504844,A Novel Sonification Strategy for Auditory Display of Heart Rate and Oxygen Saturation Changes in Clinical Settings,2012,Human Factors The Journal of the Human Factors and Ergonomics Society,article,Healthcare Technology and Patient Monitoring,Surgery,Medicine,Health Sciences,https://doi.org/10.1177/0018720812455433,22,43
W2125444231,Auditory Displays in Human–Machine Interfaces,2004,Proceedings of the IEEE,article,Human-Automation Interaction and Safety,Social Psychology,Psychology,Social Sciences,https://doi.org/10.1109/jproc.2004.825905,39,56
W9119819,An introduction to interactive sonification,2005,Journal of Biomechanics,article,Music Technology and Sound Studies,Computer Vision and Pattern Recognition,Computer Science,Physical Sciences,https://doi.org/10.1016/s0021-9290(96)00147-9,53,4
W2146050353,Psycho-physiological assessment of a prosthetic hand sensory feedback system based on an auditory display: a preliminary study,2012,Journal of NeuroEngineering and Rehabilitation,article,EEG and Brain-Computer Interfaces,Cognitive Neuroscience,Neuroscience,Life Sciences,https://doi.org/10.1186/1743-0003-9-33,88,60
W2007697407,Auditory display design—An investigation of a design pattern approach,2009,International Journal of Human-Computer Studies,article,Tactile and Sensory Interactions,Cognitive Neuroscience,Neuroscience,Life Sciences,https://doi.org/10.1016/j.ijhcs.2009.05.008,47,177
W2019065296,Interactive sonification of complex data,2009,International Journal of Human-Computer Studies,article,Tactile and Sensory Interactions,Cognitive Neuroscience,Neuroscience,Life Sciences,https://doi.org/10.1016/j.ijhcs.2009.05.006,38,36
W2172653878,<i>Life Music:</i> The Sonification of Proteins,1999,Leonardo,article,Plant and Biological Electrophysiology Studies,Plant Science,Agricultural and Biological Sciences,Life Sciences,https://doi.org/10.1162/002409499552966,72,2
W2088955376,An overview of auditory display to assist comprehension of molecular information,2006,Interacting with Computers,article,Visual and Cognitive Learning Processes,Experimental and Cognitive Psychology,Psychology,Social Sciences,https://doi.org/10.1016/j.intcom.2005.12.001,45,68
W4246986769,Sonification Design,2019,Human-computer interaction series,book,Design Education and Practice,Mechanical Engineering,Engineering,Physical Sciences,https://doi.org/10.1007/978-3-030-01497-1,42,0
W2108848067,Peircing Fritz and Snow: An aesthetic field for sonified data,2014,Organised Sound,article,Music Technology and Sound Studies,Computer Vision and Pattern Recognition,Computer Science,Physical Sciences,https://doi.org/10.1017/s1355771813000447,8,15
W2593649045,A Survey of auditory display in image-guided interventions,2017,International Journal of Computer Assisted Radiology and Surgery,article,Augmented Reality Applications,Computer Vision and Pattern Recognition,Computer Science,Physical Sciences,https://doi.org/10.1007/s11548-017-1547-z,39,37
W2069561830,Stone Banging by Wild Capuchin Monkeys: An Unusual Auditory Display,2006,Folia Primatologica,article,Primate Behavior and Ecology,Social Psychology,Psychology,Social Sciences,https://doi.org/10.1159/000095684,49,41
W1981060864,Aesthetic strategies in sonification,2011,AI & Society,article,Multisensory perception and integration,Experimental and Cognitive Psychology,Psychology,Social Sciences,https://doi.org/10.1007/s00146-011-0341-7,35,25
W1981686634,Evaluation of four models for the sonification of elite rowing,2012,Journal on Multimodal User Interfaces,article,Tactile and Sensory Interactions,Cognitive Neuroscience,Neuroscience,Life Sciences,https://doi.org/10.1007/s12193-011-0085-1,41,26
W2105055172,Data sonification from the desktop,2005,ACM Transactions on Applied Perception,article,Data Visualization and Analytics,Computer Vision and Pattern Recognition,Computer Science,Physical Sciences,https://doi.org/10.1145/1101530.1101544,44,16
W1980514696,A Laboratory Evaluation of an Auditory Display Designed to Enhance Intraoperative Monitoring,2002,Anesthesia & Analgesia,article,Healthcare Technology and Patient Monitoring,Surgery,Medicine,Health Sciences,https://doi.org/10.1097/00000539-200202000-00025,46,15
W2204026420,Sonification of guidance data during road crossing for people with visual impairments or blindness,2015,International Journal of Human-Computer Studies,article,Tactile and Sensory Interactions,Cognitive Neuroscience,Neuroscience,Life Sciences,https://doi.org/10.1016/j.ijhcs.2015.08.003,58,22
W2262929181,"3-dimensional auditory displays: development, applications, and performance.",1994,PubMed,article,Human-Automation Interaction and Safety,Social Psychology,Psychology,Social Sciences,,40,0
W1547548712,Enhancing the reading experience: Using Adaptive and Sonified RSVP for reading on small displays,2001,,article,Tactile and Sensory Interactions,Cognitive Neuroscience,Neuroscience,Life Sciences,,11,11
W1855894567,Sonify - A Platform for the Sonification of Text Messages,2013,Oldenbourg Wissenschaftsverlag eBooks,book-chapter,Tactile and Sensory Interactions,Cognitive Neuroscience,Neuroscience,Life Sciences,https://doi.org/10.1524/9783486781229.149,2,14
W2901715600,Psychoacoustic auditory display for navigation: an auditory assistance system for spatial orientation tasks,2018,Journal on Multimodal User Interfaces,article,Tactile and Sensory Interactions,Cognitive Neuroscience,Neuroscience,Life Sciences,https://doi.org/10.1007/s12193-018-0282-2,30,41
W2299284748,Comparison and Evaluation of Sonification Strategies for Guidance Tasks,2016,IEEE Transactions on Multimedia,article,Tactile and Sensory Interactions,Cognitive Neuroscience,Neuroscience,Life Sciences,https://doi.org/10.1109/tmm.2016.2531978,60,56
W2072020524,A perceptual framework for the auditory display of scientific data,2005,ACM Transactions on Applied Perception,article,Hearing Loss and Rehabilitation,Cognitive Neuroscience,Neuroscience,Life Sciences,https://doi.org/10.1145/1101530.1101532,33,15
W4249771488,Pitch and loudness interact in auditory displays: Can the data get lost in the map?,2002,Journal of Experimental Psychology Applied,article,Hearing Loss and Rehabilitation,Cognitive Neuroscience,Neuroscience,Life Sciences,https://doi.org/10.1037/1076-898x.8.1.17,52,35
W4239603325,Magnitude estimation of conceptual data dimensions for use in sonification.,2002,Journal of Experimental Psychology Applied,article,Tactile and Sensory Interactions,Cognitive Neuroscience,Neuroscience,Life Sciences,https://doi.org/10.1037/1076-898x.8.4.211,70,0
W2061425878,<i>Heat and the Heartbeat of the City:</i> Sonifying Data Describing Climate Change,2006,Leonardo Music Journal,article,"Environmental, Ecological, and Cultural Studies",Sociology and Political Science,Social Sciences,Social Sciences,https://doi.org/10.1162/lmj.2006.16.44,57,2
W2106330396,Sonification of Astronomical Data,2011,Proceedings of the International Astronomical Union,article,Solar and Space Plasma Dynamics,Astronomy and Astrophysics,Physics and Astronomy,Physical Sciences,https://doi.org/10.1017/s1743921312000440,40,1
W3045568791,"Using Data Sonification to Overcome Science Literacy, Numeracy, and Visualization Barriers in Science Communication",2020,Frontiers in Communication,article,Advanced Text Analysis Techniques,Artificial Intelligence,Computer Science,Physical Sciences,https://doi.org/10.3389/fcomm.2020.00046,62,55
W4250008609,A Laboratory Evaluation of an Auditory Display Designed to Enhance Intraoperative Monitoring,2002,Anesthesia & Analgesia,article,Healthcare Technology and Patient Monitoring,Surgery,Medicine,Health Sciences,https://doi.org/10.1213/00000539-200202000-00025,41,13
W2761132292,Effectiveness of enhanced pulse oximetry sonifications for conveying oxygen saturation ranges: a laboratory comparison of five auditory displays,2017,British Journal of Anaesthesia,article,Healthcare Technology and Patient Monitoring,Surgery,Medicine,Health Sciences,https://doi.org/10.1093/bja/aex343,19,19
W2076691609,Event-based sonification of EEG rhythms in real time,2007,Clinical Neurophysiology,article,Tactile and Sensory Interactions,Cognitive Neuroscience,Neuroscience,Life Sciences,https://doi.org/10.1016/j.clinph.2007.01.025,71,22
W1991849198,Parametric Orchestral Sonification of EEG in Real Time,2005,IEEE Multimedia,article,EEG and Brain-Computer Interfaces,Cognitive Neuroscience,Neuroscience,Life Sciences,https://doi.org/10.1109/mmul.2005.36,58,13
W1527457427,Sonification Design and Aesthetics,2011,Northumbria Research Link (Northumbria University),book-chapter,Innovative Human-Technology Interaction,Human-Computer Interaction,Computer Science,Physical Sciences,,41,0
W2401394291,Interactive Spatial Sonification of Multidimensional Data for Composition and Auditory Display,2016,Computer Music Journal,article,Music Technology and Sound Studies,Computer Vision and Pattern Recognition,Computer Science,Physical Sciences,https://doi.org/10.1162/comj_a_00358,8,43
W2963847539,Music of brain and music on brain: a novel EEG sonification approach,2018,Cognitive Neurodynamics,article,Complex Systems and Time Series Analysis,Economics and Econometrics,"Economics, Econometrics and Finance",Social Sciences,https://doi.org/10.1007/s11571-018-9502-4,44,75
W1985231929,Issues in Auditory Display,2006,Artificial Life,article,Data Visualization and Analytics,Computer Vision and Pattern Recognition,Computer Science,Physical Sciences,https://doi.org/10.1162/106454606776073369,21,57
W4386897880,Beyond sense-specific processing: decoding texture in the brain from touch and sonified movement,2023,iScience,article,Multisensory perception and integration,Experimental and Cognitive Psychology,Psychology,Social Sciences,https://doi.org/10.1016/j.isci.2023.107965,12,75
W2490977439,Sensori-Motor Learning with Movement Sonification: Perspectives from Recent Interdisciplinary Studies,2016,Frontiers in Neuroscience,article,Tactile and Sensory Interactions,Cognitive Neuroscience,Neuroscience,Life Sciences,https://doi.org/10.3389/fnins.2016.00385,91,58
W2395018040,Auditory Interfaces and Sonification,2009,Human factors and ergonomics,book-chapter,Tactile and Sensory Interactions,Cognitive Neuroscience,Neuroscience,Life Sciences,https://doi.org/10.1201/9781420064995-c32,38,108
W2961981322,Structural modification of quinoa seed protein isolates (QPIs) by variable time sonification for improving its physicochemical and functional characteristics,2019,Ultrasonics Sonochemistry,article,Proteins in Food Systems,Food Science,Agricultural and Biological Sciences,Life Sciences,https://doi.org/10.1016/j.ultsonch.2019.104700,131,40
W2126239631,Sonification as a possible stroke rehabilitation strategy,2014,Frontiers in Neuroscience,article,Tactile and Sensory Interactions,Cognitive Neuroscience,Neuroscience,Life Sciences,https://doi.org/10.3389/fnins.2014.00332,37,34
W2466861635,Sonification of Arm Movements in Stroke Rehabilitation – A Novel Approach in Neurologic Music Therapy,2016,Frontiers in Neurology,article,Stroke Rehabilitation and Recovery,Rehabilitation,Medicine,Health Sciences,https://doi.org/10.3389/fneur.2016.00106,81,82
W2555917297,Exploring Auditory Graphing Software in the Classroom,2016,ACM Transactions on Accessible Computing,article,Tactile and Sensory Interactions,Cognitive Neuroscience,Neuroscience,Life Sciences,https://doi.org/10.1145/2994606,23,38
W2123442640,Sublime frequencies:  The construction of sublime listening experiences in the sonification of scientific data,2013,Social Studies of Science,article,Music Technology and Sound Studies,Computer Vision and Pattern Recognition,Computer Science,Physical Sciences,https://doi.org/10.1177/0306312713496875,77,78
W4212945971,Head-Related Transfer Functions and Virtual Auditory Display,2014,InTech eBooks,book-chapter,Hearing Loss and Rehabilitation,Cognitive Neuroscience,Neuroscience,Life Sciences,https://doi.org/10.5772/56907,32,69
W4401242086,Marketing sonified fragrance: Designing soundscapes for scent,2024,i-Perception,article,Multisensory perception and integration,Experimental and Cognitive Psychology,Psychology,Social Sciences,https://doi.org/10.1177/20416695241259714,6,125
W2122313562,<i>Atmospherics/Weather Works:</i> A Spatialized Meteorological Data Sonification Project,2005,Leonardo,article,Tactile and Sensory Interactions,Cognitive Neuroscience,Neuroscience,Life Sciences,https://doi.org/10.1162/leon.2005.38.1.31,80,15
W2054745332,Data sonification: do you see what I hear?,1995,IEEE Software,article,Tactile and Sensory Interactions,Cognitive Neuroscience,Neuroscience,Life Sciences,https://doi.org/10.1109/52.368264,61,11
W2955138922,A Self-Consistent Sonification Method to Translate Amino Acid Sequences into Musical Compositions and Application in Protein Design Using Artificial Intelligence,2019,ACS Nano,article,Plant and Biological Electrophysiology Studies,Plant Science,Agricultural and Biological Sciences,Life Sciences,https://doi.org/10.1021/acsnano.9b02180,128,52
W2125570765,Heart Rate Sonification: A New Approach to Medical Diagnosis,2004,Leonardo,article,Phonocardiography and Auscultation Techniques,Pulmonary and Respiratory Medicine,Medicine,Health Sciences,https://doi.org/10.1162/002409404772828094,56,26
W2054459286,Color Sonification for the Visually Impaired,2013,Procedia Technology,article,Tactile and Sensory Interactions,Cognitive Neuroscience,Neuroscience,Life Sciences,https://doi.org/10.1016/j.protcy.2013.12.117,38,7
W1975594003,"Soundscape, sonification, and sound activism",2011,AI & Society,article,Noise Effects and Management,Speech and Hearing,Health Professions,Health Sciences,https://doi.org/10.1007/s00146-011-0345-3,29,3
W2075390823,Multimodal geographic information systems: Adding haptic and auditory display,2003,Journal of the American Society for Information Science and Technology,article,Spatial Cognition and Navigation,Automotive Engineering,Engineering,Physical Sciences,https://doi.org/10.1002/asi.10202,33,80
W2332934440,"Sonification, Science and Popular Music: In search of the ‘wow’",2014,Organised Sound,article,Noise Effects and Management,Speech and Hearing,Health Professions,Health Sciences,https://doi.org/10.1017/s1355771813000381,32,21
W2069096535,Multichannel spatial auditory display for speech communications.,1994,PubMed,article,Tactile and Sensory Interactions,Cognitive Neuroscience,Neuroscience,Life Sciences,,26,0
W2058904305,Evaluation of auditory displays,2005,ACM Transactions on Applied Perception,article,Tactile and Sensory Interactions,Cognitive Neuroscience,Neuroscience,Life Sciences,https://doi.org/10.1145/1101530.1101551,17,71
W281240564,The Recording That Never Wanted to Be Heard and Other Stories of Sonification,2011,Oxford University Press eBooks,book,Music Technology and Sound Studies,Computer Vision and Pattern Recognition,Computer Science,Physical Sciences,https://doi.org/10.1093/oxfordhb/9780195388947.013.0115,54,0
